Gender,Age,FamilyName,Height,Weight
F,18,West,170.18,68.0388
M,17,Oneal,170.18,63.50288
F,16,Stuart,170.18,45.3592
F,18,Lozano,157.48,83.91452
M,17,Harris,167.64,65.77084
F,17,Marks,157.48,63.50288
M,16,Parker,175.26,83.00734
F,18,Dunn,172.72,63.50288
M,17,Madden,180.34,79.3786
M,15,Jefferson,167.64,48.98794
F,17,Pennington,162.56,55.79182
M,18,Espinoza,167.64,97.52228
M,15,Andrews,157.48,58.05978
F,17,Cohen,149.86,41.27687
M,17,Gates,185.42,89.81122
F,18,Meyers,149.86,79.3786
M,17,Dorsey,170.18,65.77084
M,15,Mosley,162.56,53.52386
M,19,Morris,180.34,68.0388
M,17,Kidd,180.34,56.699
M,17,Perez,175.26,81.64656
F,16,Mcfarland,149.86,42.63765
M,15,Garcia,187.96,72.57472
F,16,Rojas,160.02,86.18248
M,19,Robinson,165.1,65.77084
M,18,Knox,175.26,72.57472
F,16,Bowman,167.64,58.96696
F,17,Rangel,160.02,54.43104
M,17,Huber,165.1,56.699
F,18,Forbes,172.72,56.24541
F,18,Schneider,162.56,61.23492
F,15,Fernandez,162.56,44.45202
M,16,Davidson,167.64,68.0388
F,19,Walters,170.18,72.57472
F,18,Perry,170.18,63.50288
M,19,Shepherd,180.34,77.11064
F,16,Sellers,152.4,49.44153
M,16,Lyons,172.72,77.11064
F,18,Baxter,160.02,74.84268
M,18,Lucero,170.18,66.67802
F,16,Orr,160.02,49.89512
M,15,Ball,172.72,72.57472
F,17,Grimes,152.4,56.699
F,16,Salinas,167.64,64.41006
F,17,Mendoza,165.1,69.85317
F,16,Hinton,157.48,53.97745
M,19,Hunter,165.1,61.23492
M,16,Steele,175.26,88.45044
F,15,Hopkins,160.02,49.89512
F,15,Wilkerson,160.02,63.50288
F,18,Hardin,162.56,99.33665
F,17,Hendrix,167.64,61.23492
M,17,Horne,167.64,63.50288
M,16,Hubbard,172.72,61.23492
F,18,Johnson,172.72,-0.45359
M,15,Hanna,162.56,45.3592
